Value,Disaggregation combinations using this value,Number of indicators
10 to 14 years old,6,1
12 to 23 months,1,1
15 to 19 years old,11,1
15 to 24 years old,37,5
15 to 49 years old,4,2
15 to 64 years old,1,1
15 years old and over,99,6
24 to 35 months,1,1
25 to 44 years old,18,1
25 years old and over,16,3
30 to exact 70 years old,15,1
36 to 47 months old,1,1
45 to 54 years old,18,1
46 years old and over,7,1
48 to 59 months,1,1
50 years old and over,3,1
55 to 64 years old,18,1
65 years old and over,19,2
under 1 year old,7,2
under 15 years old,2,2
under 46 years old,3,1
under 5 years old,7,2
Unknown,2,1
