Value,Disaggregation combinations using this value,Number of indicators
0.4,5,1
0.6,5,1
0.8,5,1
10.3083,5,1
10.5,5,1
10.8,5,1
1203,5,1
12.6,5,1
12994,5,1
13479,5,1
1414,5,1
14.9,5,1
1562,5,1
16.5,1,1
17.3066,5,1
17.9,1,1
1883.3,21,1
1915,5,1
1,5,1
212.3,7,1
21.5,6,1
215,5,1
217.3,21,1
22.2,20,1
23.2,5,1
23.3,20,1
24.2,21,1
2526,5,1
2.7,5,1
2.8,20,1
2.9,7,1
29,20,1
32028.7,6,1
3329,5,1
36.3,5,1
39.3,6,1
4.11174,5,1
42.7,6,1
4.5,5,1
48.4799,3,1
5012.7,6,1
5084.7,6,1
5702,5,1
6352,5,1
70.1,6,1
7127,5,1
71.9,6,1
72.2442,3,1
7291,5,1
75.3,6,1
8979.3,6,1
9169.8,6,1
964,5,1
9815,6,1
988,5,1
