Value,Disaggregation combinations using this value,Number of indicators
0.4,1,1
0.5,1,1
0.6,1,1
0.7,2,1
0.71448,1,1
0.72043,1,1
0.72672,1,1
0.73181,1,1
0.73746,1,1
0.74332,1,1
0.74795,1,1
0.75206,1,1
0.75693,1,1
0.76107,1,1
0.76557,1,1
0.7687,1,1
0.77121,1,1
0.77501,1,1
0.77871,1,1
0.78191,1,1
0.7852,1,1
0.78908,1,1
0.79148,1,1
0.79527,1,1
0.79742,1,1
0.8,3,1
0.80032,1,1
0.80152,1,1
0.80164,1,1
0.80168,1,1
0.80187,1,1
0.80191,1,1
0.80206,1,1
0.80243,1,1
0.80336,1,1
0.81,1,1
1,4,2
10.3083,1,1
1038,1,1
10.5,1,1
1056,1,1
106,1,1
10.6284,1,1
1076,1,1
10.8,1,1
1084,1,1
11,1,1
11.2,1,1
11.3,1,1
11334,1,1
1152,1,1
11.7,1,1
117,2,1
118,3,1
1189,1,1
119,1,1
11976,1,1
1.2,2,1
12.0015,1,1
12012,1,1
1203,1,1
1211,1,1
1228,1,1
12.3,1,1
1232,1,1
12.4632,1,1
12.4895,1,1
1.25,1,1
12.6,1,1
127,1,1
12994,1,1
12,1,1
1.3,1,1
1314,1,1
13193,1,1
132,1,1
133,1,1
13.4,1,1
13479,1,1
135,2,1
1362,1,1
137,1,1
13728,1,1
139,2,1
1.4,1,1
141,2,1
1414,1,1
1417,1,1
1418,1,1
14.5,1,1
145,1,1
14.7,1,1
14.9,2,1
150,1,1
1528,1,1
156,2,1
1562,1,1
1578,1,1
16.1,1,1
1643,1,1
16.5,1,1
1653,1,1
167.7,1,1
1684,2,1
1.7,2,1
172.185,1,1
17.3066,1,1
173.862,1,1
17.4,1,1
1743,1,1
17.7,1,1
177.721,1,1
17.8392,1,1
17.9,1,1
18.5,2,1
187.643,1,1
1883.3,1,1
191,1,1
1915,1,1
1919.1,1,1
1943.3,1,1
194.805,1,1
1958.6,1,1
195.9,1,1
1961.3,1,1
1980.7,1,1
19.8105,1,1
1991.1,1,1
200.442,1,1
2013.2,1,1
201.5,1,1
2017.2,1,1
2039.9,1,1
20.4415,1,1
20.5,1,1
2054.4,1,1
2059.7,1,1
20.6417,1,1
207.1,1,1
2079.1,1,1
209.2,1,1
209.3,1,1
2096.7,1,1
209.9,1,1
2103.3,1,1
210.4,2,1
211.3,1,1
2119.9,1,1
212.3,1,1
212.6,1,1
2131.5,1,1
2133.1,1,1
213.9,1,1
2140.8,1,1
2144.7,1,1
2147.5,1,1
215.7,1,1
21.5,2,1
215,1,1
216.1,1,1
216.3,1,1
217.3,1,1
21.8,1,1
219,1,1
219.181,1,1
222.8,2,1
22.2,1,1
22.7,1,1
227.4,1,1
22.8,1,1
2.28,1,1
22.9,2,2
2293,2,1
2.3,1,1
23.2,1,1
232.1,1,1
232.8,1,1
23319.6,1,1
23.3,1,1
23.6,1,1
236,1,1
237.3,1,1
237.5,1,1
23.8,1,1
238.9,1,1
23.9,2,1
24.1,2,1
241.6,1,1
24.2,2,2
24.3,2,1
24.7,2,1
2.4,1,1
25.2,2,1
2526,1,1
25.3,2,2
254.363,1,1
25.5,2,1
25.6,2,1
25.7,1,1
25.8,2,2
25,2,2
26,1,1
2633,1,1
26.5,1,1
26552.1,1,1
26.6,2,2
2.6,1,1
2721,1,1
27.3,2,1
27.5,1,1
278,1,1
2.7,1,1
28,1,1
2805,1,1
28.1,1,1
2831,1,1
28.5,1,1
285,1,1
286,1,1
28.7,1,1
28.9,1,1
2.8,4,2
29,2,1
2912,1,1
293,1,1
29.5,1,1
295.033,1,1
29.6,1,1
297.1,1,1
29794.3,1,1
29.8,1,1
29.9,1,1
2.9,4,1
30,2,2
30.1,1,1
302,1,1
3057,1,1
30.7,1,1
30780.6,1,1
31,1,1
31.1,1,1
311.168,1,1
3114,1,1
31145.8,1,1
312,1,1
31.3,1,1
31.4,1,1
31.5,1,1
317,1,1
31.8,2,2
3.1,1,1
32028.7,1,1
321.994,1,1
32.2,1,1
324,1,1
325.078,1,1
325.818,1,1
32.5,2,2
32.6,1,1
3289.6,1,1
3296.6,1,1
3.2,1,1
330.885,1,1
33.1,1,1
3329,1,1
33.4,2,2
334,1,1
335.905,1,1
33.7,1,1
3.4,1,1
340.245,1,1
34.3,2,2
34.5,1,1
346,1,1
346.209,1,1
35,2,2
3560,1,1
35.7,1,1
35.8,1,1
359,1,1
3.5,2,1
36.2,1,1
36.3,1,1
36.5,1,1
36.9,1,1
3.6,1,1
37.1,1,1
372,1,1
37.2,1,1
373.873,1,1
374.786,1,1
37.5,2,2
37.8969,1,1
37.9,1,1
38.0883,1,1
381.801,1,1
38.3,1,1
383,1,1
38.4,1,1
38.5,2,2
38.6,1,1
388,1,1
3.8,3,2
38,1,1
393.599,1,1
39.3,1,1
39.4,2,2
39.6,1,1
39.8,1,1
3,1,1
4,1,1
40.1,1,1
404,1,1
4052,1,1
4059.5,1,1
40.7,1,1
40.8,1,1
4092,1,1
4.11174,1,1
41.4,1,1
41.5,1,1
41.7,1,1
4.1,1,1
423,1,1
4.2552,1,1
4267,1,1
42.7,2,1
429,1,1
4.2,1,1
4.3,1,1
442,1,1
4.4,3,1
45.3,1,1
453,1,1
4.5,3,2
45,1,1
4608,1,1
4700.8,1,1
4725.9,1,1
474,1,1
4826.7,1,1
48.4799,1,1
4875.1,1,1
4880.8,1,1
4.8,1,1
4914.6,1,1
4.98134,1,1
4983,1,1
5002,1,1
5012.7,1,1
5084.7,1,1
5.15328,1,1
5.2699,1,1
5368,1,1
5.3,1,1
5.5,1,1
5548,1,1
5702,1,1
5.8,1,1
5947,1,1
60.9,1,1
6237.7,1,1
62.4,1,1
6274,1,1
6.3,1,1
6351,1,1
6352,1,1
63.6069,1,1
63.786,1,1
6465,1,1
6470.4,1,1
65.4,1,1
6608,1,1
6669.6,1,1
66.9,1,1
68.6,1,1
70.1,1,1
70.4,1,1
7127,1,1
7169.7,1,1
71.9,2,1
7207,1,1
72.1,1,1
72.2,1,1
72.2442,1,1
72.4,1,1
7246,1,1
7291,1,1
73.9,1,1
7414.1,1,1
74.2,1,1
7454,1,1
75.3,1,1
75.7,1,1
77.4,1,1
77.8,1,1
8118.3,1,1
8133.7,1,1
8168,1,1
83.1862,1,1
8366.7,1,1
8457.1,1,1
8642,1,1
86.6564,1,1
8690.5,1,1
875,1,1
877,1,1
8852.4,1,1
8.9,1,1
892,1,1
8979.3,1,1
9169.8,1,1
9.2,1,1
9269,1,1
9380.8,1,1
9520.7,1,1
964,1,1
9679.3,1,1
9815,1,1
988,1,1
996,1,1
