Value,Disaggregation combinations using this value,Number of indicators
11431.8,6,1
12,5,1
14.7449,5,1
15013,5,1
16.2,5,1
18824,5,1
21035,5,1
22190,5,1
24.675,5,1
2488.3,21,1
25,6,1
2610,5,1
27.7,5,1
2.8,5,1
294,7,1
2.9,5,1
31.8,5,1
31.9,21,1
3234,5,1
33836,5,1
34295.5,6,1
34,1,1
35.8,5,1
36.4,1,1
36.6,5,1
3724,5,1
3.7,5,1
4.1,7,1
4240,5,1
43226,5,1
43.8,20,1
43.9,20,1
450.4,21,1
46.8,6,1
47.6,20,1
4.7,5,1
48.4799,3,1
51.6,6,1
5180,5,1
5430,5,1
56,5,1
5.8,20,1
5967.6,6,1
5.97549,5,1
6154.2,6,1
624,5,1
72.2442,3,1
7.3,5,1
75,6,1
78.3,6,1
83.5,6,1
9154,5,1
9420,5,1
9954.6,6,1
9991.9,6,1
