Value,Disaggregation combinations using this value,Number of indicators
0.77117,1,1
0.7723,1,1
0.77253,1,1
0.77259,1,1
0.77292,1,1
0.77313,1,1
0.77429,1,1
0.77568,1,1
0.77866,1,1
0.78144,1,1
0.78442,1,1
0.78708,1,1
0.79024,1,1
0.79223,1,1
0.79572,1,1
0.79859,1,1
0.80125,1,1
0.80479,1,1
0.80697,1,1
0.81284,1,1
0.81692,1,1
0.82214,1,1
0.82722,1,1
0.83175,1,1
0.83912,1,1
0.84323,1,1
0.84777,1,1
0.85351,1,1
0.86425,1,1
0.8671,1,1
10,1,1
10182,1,1
10452,1,1
10480,1,1
1062,1,1
10837.7,1,1
11085.9,1,1
11190.7,1,1
1.12,1,1
11431.8,1,1
11550,1,1
12170,1,1
12.2,1,1
12,1,1
14.7449,1,1
15013,1,1
15164,1,1
15.2865,1,1
15.7,1,1
15.9,1,1
16.2,1,1
16380,1,1
16.8,1,1
17.1316,1,1
17.5,1,1
17.72,1,1
17.8762,1,1
17,1,1
18171,1,1
18252,1,1
1.84,1,1
18485,1,1
18824,1,1
19.1,1,1
19570,1,1
19673,1,1
19720,1,1
20.1,1,1
20926,1,1
21,1,1
21035,1,1
21120,1,1
21548,1,1
2210.4,1,1
22190,1,1
2237.1,1,1
22445,1,1
2262,1,1
2282,1,1
2286,1,1
2305.7,1,1
2307.7,1,1
2309.6,1,1
2319.2,1,1
2328.9,1,1
2333.5,1,1
2343,1,1
2355.7,1,1
2360.8,1,1
2368.3,1,1
2368.8,1,1
2375.1,1,1
2375.6,1,1
2378.5,1,1
24,1,1
2419.3,1,1
24.1,1,1
2461.6,1,1
24.675,1,1
2488.3,1,1
25.1,1,1
25217.4,1,1
2533,1,1
25.6966,1,1
25.8,1,1
25,1,1
2610,1,1
26.2,1,1
26.3,1,1
266.9,1,1
27335,1,1
27.7,2,1
2.7,1,1
2814,1,1
28.2086,1,1
28520.4,1,1
286,1,1
289,1,1
2.8,1,1
291,1,1
29.1894,1,1
294,1,1
29.53,1,1
295,1,1
296,1,1
29.7,1,1
2.9,1,1
3006,1,1
301,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
309,1,1
311.6,1,1
312.7,1,1
312,1,1
313.7,1,1
3163,1,1
316.6,1,1
31837.1,1,1
318.6,1,1
31.8,1,1
31.9,1,1
3.2,1,1
320.2,1,1
3205,1,1
32.1,2,1
3234,1,1
323.9,1,1
32.4,1,1
324,1,1
32.5,1,1
3257,1,1
32.8,1,1
32899.7,1,1
3292,1,1
3298,1,1
32,1,1
331.9,1,1
333,1,1
33340.2,1,1
334.2,1,1
33.6,1,1
338,1,1
33836,1,1
338.7,1,1
341,1,1
342,1,1
34295.5,1,1
343.6,1,1
345.8,1,1
345.937,1,1
34.6,1,1
347.8,1,1
34,1,1
353.5,1,1
35.4,1,1
356.8,1,1
3571,1,1
35.7,1,1
35.8,1,1
36,1,1
360,1,1
36.4,1,1
364.1,1,1
364.8,1,1
36.6,1,1
36.7,1,1
367.1,1,1
36.8,2,2
368.2,1,1
368.3,1,1
36.9,1,1
37,1,1
37.1,1,1
3724,1,1
37.4,1,1
374.305,1,1
37.5,3,1
37.6,1,1
37.8,3,3
37822,1,1
37891,1,1
3.7,1,1
38,2,2
38.4,1,1
38.6,2,1
3863,1,1
388.027,1,1
38.9,2,2
3.9,1,1
390,1,1
391.5,1,1
39.2,2,2
39.3,1,1
39.4,1,1
3963,1,1
39.9,1,1
40,2,2
40.1,1,1
40.4,1,1
