Year,BASE_PER,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Degree of urbanisation,Base period,Nature of data points,Observation-level footnotes,Source details,Value
1989,2017,G,"Accessed September 14, 2022. Based on data from HBS. Estimated from grouped consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",59.4
1992,2017,G,"Accessed September 14, 2022. Based on data from NIHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",65.9
1996,2017,G,"Accessed September 14, 2022. Based on data from NIHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",64.9
1999,2017,G,"Accessed September 14, 2022. Based on data from NIHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",68.7
2002,2017,G,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",66.7
2005,2017,G,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",58.0
2009,2017,G,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",46.7
2012,2017,G,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",37.5
2016,2017,G,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",42.7
2019,2017,G,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from UNHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",42.2
2012,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",43.26475
2016,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",49.97226
2019,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",49.206
2012,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",17.96374
2016,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",20.19749
2019,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",22.8816
2012,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",30.27493
2016,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",37.7359
2019,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",36.96428
2012,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",42.82118
2016,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",49.40978
2019,2017,G,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: UNHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",48.47897
