Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population using basic drinking water services [1.4.1],,27
2001,Proportion of population using basic drinking water services [1.4.1],,28
2002,Proportion of population using basic drinking water services [1.4.1],,29
2003,Proportion of population using basic drinking water services [1.4.1],,30
2004,Proportion of population using basic drinking water services [1.4.1],,32
2005,Proportion of population using basic drinking water services [1.4.1],,33
2006,Proportion of population using basic drinking water services [1.4.1],,34
2007,Proportion of population using basic drinking water services [1.4.1],,36
2008,Proportion of population using basic drinking water services [1.4.1],,37
2009,Proportion of population using basic drinking water services [1.4.1],,39
2010,Proportion of population using basic drinking water services [1.4.1],,40
2011,Proportion of population using basic drinking water services [1.4.1],,42
2012,Proportion of population using basic drinking water services [1.4.1],,43
2013,Proportion of population using basic drinking water services [1.4.1],,45
2014,Proportion of population using basic drinking water services [1.4.1],,46
2015,Proportion of population using basic drinking water services [1.4.1],,48
2016,Proportion of population using basic drinking water services [1.4.1],,49
2017,Proportion of population using basic drinking water services [1.4.1],,51
2018,Proportion of population using basic drinking water services [1.4.1],,53
2019,Proportion of population using basic drinking water services [1.4.1],,54
2020,Proportion of population using basic drinking water services [1.4.1],,56
2000,Proportion of population using basic drinking water services [1.4.1],Rural,19
2001,Proportion of population using basic drinking water services [1.4.1],Rural,20
2002,Proportion of population using basic drinking water services [1.4.1],Rural,21
2003,Proportion of population using basic drinking water services [1.4.1],Rural,23
2004,Proportion of population using basic drinking water services [1.4.1],Rural,24
2005,Proportion of population using basic drinking water services [1.4.1],Rural,25
2006,Proportion of population using basic drinking water services [1.4.1],Rural,26
2007,Proportion of population using basic drinking water services [1.4.1],Rural,28
2008,Proportion of population using basic drinking water services [1.4.1],Rural,29
2009,Proportion of population using basic drinking water services [1.4.1],Rural,31
2010,Proportion of population using basic drinking water services [1.4.1],Rural,32
2011,Proportion of population using basic drinking water services [1.4.1],Rural,33
2012,Proportion of population using basic drinking water services [1.4.1],Rural,35
2013,Proportion of population using basic drinking water services [1.4.1],Rural,37
2014,Proportion of population using basic drinking water services [1.4.1],Rural,38
2015,Proportion of population using basic drinking water services [1.4.1],Rural,40
2016,Proportion of population using basic drinking water services [1.4.1],Rural,41
2017,Proportion of population using basic drinking water services [1.4.1],Rural,43
