Year,SDG Series,Type of product,COMMENT_OBS,Observation-level footnotes,Value
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,12.43513
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,10.77345
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,10.8705
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,11.02411
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,10.90694
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,10.46012
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,11.18793
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",,,,14.83969
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,19.45758
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,25.29636
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,31.86387
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,28.71257
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,27.14904
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,24.97647
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,27.66496
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Agriculture products,,,27.19672
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,7.81232
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,20.40272
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,18.47345
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,13.90977
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,10.98131
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,10.98131
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,1.53037
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Arms,,,0.5643
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.01011
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.02932
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.0016
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.00163
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.00354
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.00354
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,24.90946
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Clothing,,,25.01457
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,10.83695
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,8.21664
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,7.4045
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,7.96375
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,7.5739
2018,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,7.43844
2019,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,8.50497
2020,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Industrial products,,,12.96572
2005,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2010,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2015,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2016,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2017,"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",Oil,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
