Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Observation-level footnotes,Source details,Value
2020,C,"Out of 12 local breeds (including extinct ones), 5 are reported with genetic material stored, out of which 3 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 12 local breeds (including extinct ones), 5 are reported with genetic material stored, out of which 3 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,3
2021,E,"Out of 12 local breeds (including extinct ones), 5 are reported with genetic material stored, out of which 3 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 12 local breeds (including extinct ones), 5 are reported with genetic material stored, out of which 3 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,3
2022,E,"Out of 12 local breeds (including extinct ones), 5 are reported with genetic material stored, out of which 3 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 12 local breeds (including extinct ones), 5 are reported with genetic material stored, out of which 3 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,3
2020,C,"Out of 30 transboundary breeds (including extinct ones), 4 are reported with genetic material stored, out of which 2 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 30 transboundary breeds (including extinct ones), 4 are reported with genetic material stored, out of which 2 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2
2021,E,"Out of 30 transboundary breeds (including extinct ones), 4 are reported with genetic material stored, out of which 2 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 30 transboundary breeds (including extinct ones), 4 are reported with genetic material stored, out of which 2 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2
2022,E,"Out of 30 transboundary breeds (including extinct ones), 4 are reported with genetic material stored, out of which 2 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 30 transboundary breeds (including extinct ones), 4 are reported with genetic material stored, out of which 2 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2
1995,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6
2000,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),6
2005,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),42
2010,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),3456
2012,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),3767
2014,E,Estimate based on the acquisition date of each conserved accession as reported in 2016.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),4228
2016,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),5027
2017,E,Estimate based on 2016 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),5027
2018,E,Estimate based on 2016 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),5027
2019,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),5600
2020,E,Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),5600
2021,E,Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),5600
