Year,Economic activity,Value
2000,,3.01555
2001,,3.16171
2002,,3.30787
2003,,3.72789
2004,,4.14791
2005,,4.56793
2006,,4.98795
2007,,5.40797
2008,,5.828
2009,,5.828
2010,,5.828
2011,,5.828
2012,,5.828
2013,,5.828
2014,,5.828
2015,,5.828
2016,,5.828
2017,,5.828
2018,,5.828
2019,,5.828
2000,Agriculture (ISIC4 A01 A0210 A0322),1.1
2001,Agriculture (ISIC4 A01 A0210 A0322),1.1
2002,Agriculture (ISIC4 A01 A0210 A0322),1.1
2003,Agriculture (ISIC4 A01 A0210 A0322),1.31
2004,Agriculture (ISIC4 A01 A0210 A0322),1.52
2005,Agriculture (ISIC4 A01 A0210 A0322),1.73
2006,Agriculture (ISIC4 A01 A0210 A0322),1.95
2007,Agriculture (ISIC4 A01 A0210 A0322),2.16
2008,Agriculture (ISIC4 A01 A0210 A0322),2.37
2009,Agriculture (ISIC4 A01 A0210 A0322),2.37
2010,Agriculture (ISIC4 A01 A0210 A0322),2.37
2011,Agriculture (ISIC4 A01 A0210 A0322),2.37
2012,Agriculture (ISIC4 A01 A0210 A0322),2.37
2013,Agriculture (ISIC4 A01 A0210 A0322),2.37
2014,Agriculture (ISIC4 A01 A0210 A0322),2.37
2015,Agriculture (ISIC4 A01 A0210 A0322),2.37
2016,Agriculture (ISIC4 A01 A0210 A0322),2.37
2017,Agriculture (ISIC4 A01 A0210 A0322),2.37
2018,Agriculture (ISIC4 A01 A0210 A0322),2.37
2019,Agriculture (ISIC4 A01 A0210 A0322),2.37
2000,Industries,0.53
2001,Industries,0.48
2002,Industries,0.42
2003,Industries,0.43
2004,Industries,0.43
2005,Industries,0.44
2006,Industries,0.45
2007,Industries,0.45
2008,Industries,0.46
2009,Industries,0.46
2010,Industries,0.46
2011,Industries,0.46
2012,Industries,0.46
2013,Industries,0.46
2014,Industries,0.46
2015,Industries,0.46
2016,Industries,0.46
2017,Industries,0.46
2018,Industries,0.46
2019,Industries,0.46
2000,Services (G to T),1.39
2001,Services (G to T),1.59
2002,Services (G to T),1.79
2003,Services (G to T),1.99
2004,Services (G to T),2.19
2005,Services (G to T),2.4
2006,Services (G to T),2.6
2007,Services (G to T),2.8
2008,Services (G to T),3.0
2009,Services (G to T),3.0
2010,Services (G to T),3.0
2011,Services (G to T),3.0
2012,Services (G to T),3.0
2013,Services (G to T),3.0
2014,Services (G to T),3.0
2015,Services (G to T),3.0
2016,Services (G to T),3.0
2017,Services (G to T),3.0
2018,Services (G to T),3.0
2019,Services (G to T),3.0
