Year,COMMENT_OBS,Composite breakdown,Value
2000,Year-end value for installed capacity (watts) and mid-year for population ,,11.002
2001,Year-end value for installed capacity (watts) and mid-year for population ,,10.693
2002,Year-end value for installed capacity (watts) and mid-year for population ,,11.964
2003,Year-end value for installed capacity (watts) and mid-year for population ,,11.613
2004,Year-end value for installed capacity (watts) and mid-year for population ,,11.271
2005,Year-end value for installed capacity (watts) and mid-year for population ,,11.487
2006,Year-end value for installed capacity (watts) and mid-year for population ,,11.214
2007,Year-end value for installed capacity (watts) and mid-year for population ,,10.944
2008,Year-end value for installed capacity (watts) and mid-year for population ,,13.89
2009,Year-end value for installed capacity (watts) and mid-year for population ,,13.95
2010,Year-end value for installed capacity (watts) and mid-year for population ,,14.287
2011,Year-end value for installed capacity (watts) and mid-year for population ,,13.879
2012,Year-end value for installed capacity (watts) and mid-year for population ,,17.817
2013,Year-end value for installed capacity (watts) and mid-year for population ,,20.9
2014,Year-end value for installed capacity (watts) and mid-year for population ,,20.739
2015,Year-end value for installed capacity (watts) and mid-year for population ,,20.444
2016,Year-end value for installed capacity (watts) and mid-year for population ,,19.761
2017,Year-end value for installed capacity (watts) and mid-year for population ,,20.084
2018,Year-end value for installed capacity (watts) and mid-year for population ,,21.225
2019,Year-end value for installed capacity (watts) and mid-year for population ,,26.593
2020,Year-end value for installed capacity (watts) and mid-year for population ,,25.887
2000,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.0
2001,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.0
2002,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.0
2003,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.0
2004,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.0
2005,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.0
2006,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.0
2007,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.0
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.526
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.509
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.493
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.478
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.463
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.009
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.463
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.687
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.627
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.856
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,2.251
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,2.173
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,2.103
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,10.994
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,10.661
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,11.92
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,11.547
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,11.185
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,11.378
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,11.025
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,10.683
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,12.98
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,12.989
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,13.334
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,12.916
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,16.852
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,19.373
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.734
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.182
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,17.529
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,17.169
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,17.409
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,22.681
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,22.094
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.008
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.033
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.044
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.065
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.086
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.108
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.189
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.261
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.384
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.451
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.46
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.485
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.501
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.518
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.542
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.576
