Year,NATURE,SOURCE_DETAIL,Value
2000,E,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,10.35487
2004,C,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,20.30834
2010,C,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,10.10489
2011,C,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,13.61137
2012,C,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,11.4519
2013,C,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,11.74312
2014,C,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,11.70491
2015,E,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,13.22008
2016,E,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,12.46917
2017,E,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,12.19733
2018,E,UNESCO Institute for Statistics; Data extracted on 01 April 2022.,11.25366
2019,C,IMF; Data extracted on 01 April 2022.,11.47
2020,C,IMF; Data extracted on 01 April 2022.,11.25
