Year,SDG Series,Composite breakdown,Unit of measure,COMMENT_OBS,Observation-level footnotes,Value
2000,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,120.01872
2001,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,124.24327
2002,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,129.65627
2003,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,136.41829
2004,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,141.59784
2005,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,152.37056
2006,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,163.35266
2007,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,192.65717
2008,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,227.68175
2009,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,245.24454
2010,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,270.38879
2011,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,300.49497
2012,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,332.41926
2013,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,364.96278
2014,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,409.56133
2015,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,430.94886
2016,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,444.79564
2017,"Electronic waste generated, per capita (Kg) [12.4.2]",,Kilograms,,,450.53637
2000,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,2838461.914
2001,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,3030165.771
2002,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,3263093.262
2003,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,3544221.924
2004,Electronic waste generated (Tonnes) [12.4.2],,Metric Tons,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,The data was estimated using the UNU tool for E-Waste using the data for imports and Exportso of Electrical and Electroni Equipment.,3797838.135
