Year,NATURE,SOURCE_DETAIL,Value
2000,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",0.16371
2001,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",0.23795
2002,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",0.38409
2003,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",0.46485
2004,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",0.71997
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",1.74221
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",2.52936
2007,C,Uganda Communications Commission (UCC).,3.67197
2008,E,ITU estimate.,3.88
2009,E,ITU estimate.,4.1
2010,E,ITU estimate.,4.3
2011,E,ITU estimate.,4.6
2012,E,ITU estimate.,4.8
2013,E,ITU estimate.,5.1
2014,E,ITU estimate.,5.4
2015,E,ITU estimate.,5.7
2016,C,Uganda Bureau of Statistics,6.0
2017,E,ITU estimate.,8.1
2018,E,ITU estimate.,10.9
2019,E,ITU estimate.,14.7
2020,E,ITU estimate.,19.9
