Year,UNIT_MULT,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Upper bound value,Lower bound value,Source details,Value
2000,0,CA, 41 out of 45 districts,5.6,4.4,"Uganda demographic and health survey 2000-2001. Demographic and Health Surveys. Calverton, Maryland, USA: UBOS and ORC Macro, 2001",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,Oedema data was not considered in the analysis ,4.1,2.9,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",5.0
2006,0,CA,,7.3,5.3,"Uganda demographic and health survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: UBOS and Macro International Inc., 2007",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,Oedema data was not considered in the analysis ,4.1,2.9,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",6.2
2009,0,CA,Oedema data was not considered in the analysis ,5.5,3.5,The Uganda National Panel Survey (UNPS) 2009/10,Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,Oedema data was not considered in the analysis ,4.1,2.9,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",4.4
2011,0,CA,,5.7,3.8,"Uganda demographic and health survey 2011. Demographic and Health Surveys. Kampala, Uganda: UBOS and Calverton, Maryland: ICF International Inc., 2012",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,Oedema data was not considered in the analysis ,4.1,2.9,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",4.6
2012,0,CA,Oedema data was not considered in the analysis ,6.7,2.6,"Uganda National Panel Survey (UNPS) - Wave III. Kampala, Uganda: UBOS, 2013",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,Oedema data was not considered in the analysis ,4.1,2.9,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",4.2
2014,0,CA,Oedema data was not considered in the analysis ,5,2.9,The Uganda National Panel Survey (UNPS) 2013/14,Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,Oedema data was not considered in the analysis ,4.1,2.9,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",3.8
2016,0,CA,,4.1,2.9,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,Oedema data was not considered in the analysis ,4.1,2.9,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",3.5
2000,3,CA, 41 out of 45 districts,266.9,207.1,"Uganda demographic and health survey 2000-2001. Demographic and Health Surveys. Calverton, Maryland, USA: UBOS and ORC Macro, 2001",Children moderately or severely wasted (number) [2.2.2],Number,Thousands,Country Adjusted,Oedema data was not considered in the analysis ,294,212.3,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",235.2
2006,3,CA,,413.4,297.1,"Uganda demographic and health survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: UBOS and Macro International Inc., 2007",Children moderately or severely wasted (number) [2.2.2],Number,Thousands,Country Adjusted,Oedema data was not considered in the analysis ,294,212.3,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",350.7
2009,3,CA,Oedema data was not considered in the analysis ,338.7,216.3,The Uganda National Panel Survey (UNPS) 2009/10,Children moderately or severely wasted (number) [2.2.2],Number,Thousands,Country Adjusted,Oedema data was not considered in the analysis ,294,212.3,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",271.0
