Year,NATURE,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2001,C,"Uganda DHS 2001. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",,,,Primary education,Country Data,Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,,39.49
2002,C,"Uganda Population and Housing Census 2002. IPUMS-International, Uganda Bureau of Statistics.; Data extracted on 01 April 2022.",,,,Primary education,Country Data,Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,,36.19534
2006,C,Uganda DHS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,,,Primary education,Country Data,Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,,30.37211
2011,C,Uganda DHS 2011. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,,,,Primary education,Country Data,Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,,39.38338
2016,C,Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,,,Primary education,Country Data,Uganda DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,,43.61862
2000,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,15.0
2001,C,"Uganda DHS 2001. World Inequality Database on Education (WIDE), June 2019.; Data extracted on 01 April 2022.",,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,13.74
2002,C,"Uganda Population and Housing Census 2002. IPUMS-International, Uganda Bureau of Statistics.; Data extracted on 01 April 2022.",,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,14.40501
2003,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,17.8
2004,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,18.7
