Year,SDG Series,Value
2017,Degree of integrated water resources management implementation (%) [6.5.1],59
2020,Degree of integrated water resources management implementation (%) [6.5.1],62
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",63
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",63
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",40
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",63
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",69
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",63
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",62
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",60
