Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00307
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00423
2007,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00631
2008,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.01577
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.0191
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.04317
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.10609
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.11112
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.11626
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.14954
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.21118
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.23233
