Year,SDG Series,Value
2010,Amount of tracked exported Environmentally Sound Technologies [17.7.1],29062840
2011,Amount of tracked exported Environmentally Sound Technologies [17.7.1],46436840
2012,Amount of tracked exported Environmentally Sound Technologies [17.7.1],58841337
2013,Amount of tracked exported Environmentally Sound Technologies [17.7.1],54947835
2014,Amount of tracked exported Environmentally Sound Technologies [17.7.1],61330888
2015,Amount of tracked exported Environmentally Sound Technologies [17.7.1],50047591
2016,Amount of tracked exported Environmentally Sound Technologies [17.7.1],44542747
2017,Amount of tracked exported Environmentally Sound Technologies [17.7.1],41513315
2018,Amount of tracked exported Environmentally Sound Technologies [17.7.1],46920029
2019,Amount of tracked exported Environmentally Sound Technologies [17.7.1],34464795
2020,Amount of tracked exported Environmentally Sound Technologies [17.7.1],40933402
2010,Amount of tracked imported Environmentally Sound Technologies [17.7.1],269666002
2011,Amount of tracked imported Environmentally Sound Technologies [17.7.1],280507800
2012,Amount of tracked imported Environmentally Sound Technologies [17.7.1],356879607
2013,Amount of tracked imported Environmentally Sound Technologies [17.7.1],327313916
2014,Amount of tracked imported Environmentally Sound Technologies [17.7.1],336919024
2015,Amount of tracked imported Environmentally Sound Technologies [17.7.1],340110829
2016,Amount of tracked imported Environmentally Sound Technologies [17.7.1],307236351
2017,Amount of tracked imported Environmentally Sound Technologies [17.7.1],357302591
2018,Amount of tracked imported Environmentally Sound Technologies [17.7.1],410563649
2019,Amount of tracked imported Environmentally Sound Technologies [17.7.1],332407705
2020,Amount of tracked imported Environmentally Sound Technologies [17.7.1],398045229
2010,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],12797573
2013,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],24705521
2014,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],31113969
2015,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],25464359
2016,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],14866157
2017,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],12376511
2013,Amount of tracked re-imported Environmentally Sound Technologies [17.7.1],630762
