Year,SOURCE_DETAIL,Sex,Education level,Source details,Value
2010,Education Statistical Abstract 2010 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2010.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,88.87812
2012,Education Statistical Abstract 2012 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2012.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,95.49762
2013,Education Statistical Abstract 2013 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2013.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,86.02878
2014,Education Statistical Abstract 2014 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2014.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,84.63812
2015,Education Statistical Abstract 2015 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2015.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,77.96076
2016,Education Abstract 2016 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2016.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,93.58176
2017,Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,84.02703
2017,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,60.00506
2012,Education Statistical Abstract 2012 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2012.pdf); Data extracted on 01 April 2022.,,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,97.65605
2013,Education Statistical Abstract 2013 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2013.pdf); Data extracted on 01 April 2022.,,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,76.48641
2014,Education Statistical Abstract 2014 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2014.pdf); Data extracted on 01 April 2022.,,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,75.18944
2015,Education Statistical Abstract 2015 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2015.pdf); Data extracted on 01 April 2022.,,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,71.48718
2016,Education Abstract 2016 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2016.pdf); Data extracted on 01 April 2022.,,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,71.3104
2017,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,79.58579
2010,Education Statistical Abstract 2010 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2010.pdf); Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,90.6408
