Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population practicing open defecation [6.2.1],,14
2001,Proportion of population practicing open defecation [6.2.1],,14
2002,Proportion of population practicing open defecation [6.2.1],,13
2003,Proportion of population practicing open defecation [6.2.1],,13
2004,Proportion of population practicing open defecation [6.2.1],,12
2005,Proportion of population practicing open defecation [6.2.1],,12
2006,Proportion of population practicing open defecation [6.2.1],,11
2007,Proportion of population practicing open defecation [6.2.1],,11
2008,Proportion of population practicing open defecation [6.2.1],,10
2009,Proportion of population practicing open defecation [6.2.1],,10
2010,Proportion of population practicing open defecation [6.2.1],,9
2011,Proportion of population practicing open defecation [6.2.1],,9
2012,Proportion of population practicing open defecation [6.2.1],,8
2013,Proportion of population practicing open defecation [6.2.1],,8
2014,Proportion of population practicing open defecation [6.2.1],,7
2015,Proportion of population practicing open defecation [6.2.1],,7
2016,Proportion of population practicing open defecation [6.2.1],,6
2017,Proportion of population practicing open defecation [6.2.1],,6
2018,Proportion of population practicing open defecation [6.2.1],,6
2019,Proportion of population practicing open defecation [6.2.1],,5
2020,Proportion of population practicing open defecation [6.2.1],,5
2000,Proportion of population practicing open defecation [6.2.1],Rural,17
2001,Proportion of population practicing open defecation [6.2.1],Rural,16
2002,Proportion of population practicing open defecation [6.2.1],Rural,15
2003,Proportion of population practicing open defecation [6.2.1],Rural,15
2004,Proportion of population practicing open defecation [6.2.1],Rural,14
2005,Proportion of population practicing open defecation [6.2.1],Rural,14
2006,Proportion of population practicing open defecation [6.2.1],Rural,13
2007,Proportion of population practicing open defecation [6.2.1],Rural,13
2008,Proportion of population practicing open defecation [6.2.1],Rural,12
2009,Proportion of population practicing open defecation [6.2.1],Rural,12
2010,Proportion of population practicing open defecation [6.2.1],Rural,11
2011,Proportion of population practicing open defecation [6.2.1],Rural,11
2012,Proportion of population practicing open defecation [6.2.1],Rural,10
2013,Proportion of population practicing open defecation [6.2.1],Rural,9
2014,Proportion of population practicing open defecation [6.2.1],Rural,9
2015,Proportion of population practicing open defecation [6.2.1],Rural,8
2016,Proportion of population practicing open defecation [6.2.1],Rural,8
2017,Proportion of population practicing open defecation [6.2.1],Rural,7
2018,Proportion of population practicing open defecation [6.2.1],Rural,7
2019,Proportion of population practicing open defecation [6.2.1],Rural,6
2020,Proportion of population practicing open defecation [6.2.1],Rural,6
2000,Proportion of population practicing open defecation [6.2.1],Urban,2
2001,Proportion of population practicing open defecation [6.2.1],Urban,2
2002,Proportion of population practicing open defecation [6.2.1],Urban,2
2003,Proportion of population practicing open defecation [6.2.1],Urban,2
2004,Proportion of population practicing open defecation [6.2.1],Urban,2
2005,Proportion of population practicing open defecation [6.2.1],Urban,2
2006,Proportion of population practicing open defecation [6.2.1],Urban,2
2007,Proportion of population practicing open defecation [6.2.1],Urban,2
2008,Proportion of population practicing open defecation [6.2.1],Urban,2
2009,Proportion of population practicing open defecation [6.2.1],Urban,2
2010,Proportion of population practicing open defecation [6.2.1],Urban,2
2011,Proportion of population practicing open defecation [6.2.1],Urban,2
2012,Proportion of population practicing open defecation [6.2.1],Urban,2
2013,Proportion of population practicing open defecation [6.2.1],Urban,2
2014,Proportion of population practicing open defecation [6.2.1],Urban,2
2015,Proportion of population practicing open defecation [6.2.1],Urban,2
2016,Proportion of population practicing open defecation [6.2.1],Urban,2
2017,Proportion of population practicing open defecation [6.2.1],Urban,2
2018,Proportion of population practicing open defecation [6.2.1],Urban,2
2019,Proportion of population practicing open defecation [6.2.1],Urban,2
2020,Proportion of population practicing open defecation [6.2.1],Urban,2
2000,Proportion of population with basic handwashing facilities on premises [6.2.1],,3
2001,Proportion of population with basic handwashing facilities on premises [6.2.1],,4
2002,Proportion of population with basic handwashing facilities on premises [6.2.1],,5
2003,Proportion of population with basic handwashing facilities on premises [6.2.1],,6
2004,Proportion of population with basic handwashing facilities on premises [6.2.1],,7
2005,Proportion of population with basic handwashing facilities on premises [6.2.1],,8
2006,Proportion of population with basic handwashing facilities on premises [6.2.1],,9
2007,Proportion of population with basic handwashing facilities on premises [6.2.1],,10
2008,Proportion of population with basic handwashing facilities on premises [6.2.1],,11
2009,Proportion of population with basic handwashing facilities on premises [6.2.1],,12
2010,Proportion of population with basic handwashing facilities on premises [6.2.1],,13
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],,14
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],,16
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],,17
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],,18
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],,19
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],,20
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],,21
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],,22
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],,22
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],,23
2000,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,2
2001,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,2
2002,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,3
2003,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,4
2004,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,5
2005,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,6
2006,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,7
2007,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,8
2008,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,9
2009,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,10
2010,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,11
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,12
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,13
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,14
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,15
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,15
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,16
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,17
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,18
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,18
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,18
2000,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,9
2001,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,10
2002,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,12
2003,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,13
2004,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,15
2005,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,16
2006,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,18
2007,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,19
2008,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,21
2009,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,22
2010,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,24
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,25
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,27
