Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2005,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",165.96109
2006,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",190.6282
2007,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",698.73254
2008,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",283.47831
2009,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",975.61427
2010,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",693.5869
2011,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",466.60238
2012,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",307.18797
2013,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",470.04549
2014,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",824.49416
2015,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",877.51263
2016,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",678.25034
2017,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",359.01223
2018,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",731.05377
2019,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",556.80159
2020,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",759.50375
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",246.70631
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",496.64168
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",420.11939
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",444.19933
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",415.33364
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",440.05288
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",363.1327
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",531.22764
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",429.4228
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",465.28767
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",366.01525
