Year,NATURE,SOURCE_DETAIL,SDG Series,Observation-level footnotes,COMMENT_OBS,Value
2000,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,16.05
2001,C,Celtel.,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,22.0
2002,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,35.0
2003,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,46.0
2004,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,75.0
2005,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,70.0
2006,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,80.0
2007,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,80.0
2008,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,100.0
2009,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,100.0
2010,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,100.0
2011,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,100.0
2012,C,Uganda Communications Commission,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,100.0
2015,C,Uganda Communications Commission,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",December,91.0
2016,C,Uganda Communications Commission,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",December,93.0
2017,C,Uganda Communications Commission,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",December,93.0
2018,C,Uganda Communications Commission,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ","The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",98.0
2019,C,Uganda Communications Commission,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,98.0
2020,C,Uganda Communications Commission,Proportion of population covered by at least a 2G mobile network [9.c.1],"The whole country have points of presence of mobile cellular signal, however, due to non uniform geographical terrain/topography, there are points of absence of the cellular network like down valleys. ",,98.0
2010,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",Dec,42.0
2011,C,Uganda Communications Commission (UCC).,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",Dec,42.0
2012,C,Uganda Communications Commission,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",Dec,45.0
2014,C,Uganda Communications Commission,Proportion of population covered by at least a 3G mobile network [9.c.1],"UCC is currently in the process of revalidating and updating its coverage maps on the 3G mobile networks, which is why the coverage figure is still the same. ",Dec,40.0
