Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",15.82979
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",13.71644
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",12.68781
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",12.4821
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",12.27638
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",12.07067
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",11.8649
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",11.65919
2000,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3162.95
2010,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",2750.42
2015,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",2544.16
2016,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",2502.91
2017,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",2461.66
2018,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",2420.41
2019,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",2379.15
2020,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",2337.9
2000,3,C,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,19981.0
2010,3,C,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,20052.0
2015,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,20052.0
2016,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,20052.0
2017,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,20052.0
2018,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,20052.0
2019,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,20052.0
2020,3,E,,FAO estimate based on FAOSTAT data from 2019,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,20052.0
