Year,UPPER_BOUND,LOWER_BOUND,Value
2000,86.3813,83.1862,86.38127
2001,86.3813,83.1862,86.38127
2002,86.6564,86.6564,86.65639
2003,86.6564,86.6564,86.65639
2004,86.6564,86.6564,86.65639
2005,86.6564,86.6564,86.65639
2006,86.6564,86.6564,86.65639
2007,86.6564,86.6564,86.65639
2008,86.6564,86.6564,86.65639
2009,86.6564,86.6564,86.65639
2010,86.6564,86.6564,86.65639
2011,86.6564,86.6564,86.65639
2012,86.6564,86.6564,86.65639
2013,86.6564,86.6564,86.65639
2014,86.6564,86.6564,86.65639
2015,86.6564,86.6564,86.65639
2016,86.6564,86.6564,86.65639
2017,86.6564,86.6564,86.65639
2018,86.6564,86.6564,86.65639
2019,86.6564,86.6564,86.65639
2020,86.6564,86.6564,86.65639
2021,86.6564,86.6564,86.65639
