Year,SDG Series,Sex,Value
2010,Productivity of large-scale food producers [2.3.1],,6.73
2011,Productivity of large-scale food producers [2.3.1],,5.39
2012,Productivity of large-scale food producers [2.3.1],,6.1
2014,Productivity of large-scale food producers [2.3.1],,4.65
2016,Productivity of large-scale food producers [2.3.1],,4.61
2010,Productivity of large-scale food producers [2.3.1],Female,6.72
2011,Productivity of large-scale food producers [2.3.1],Female,4.79
2012,Productivity of large-scale food producers [2.3.1],Female,7.32
2014,Productivity of large-scale food producers [2.3.1],Female,4.69
2016,Productivity of large-scale food producers [2.3.1],Female,4.93
2010,Productivity of large-scale food producers [2.3.1],Male,6.74
2011,Productivity of large-scale food producers [2.3.1],Male,5.58
2012,Productivity of large-scale food producers [2.3.1],Male,5.62
2014,Productivity of large-scale food producers [2.3.1],Male,4.63
2016,Productivity of large-scale food producers [2.3.1],Male,4.49
2010,Productivity of small-scale food producers [2.3.1],,4.3
2011,Productivity of small-scale food producers [2.3.1],,3.6
2012,Productivity of small-scale food producers [2.3.1],,4.1
2014,Productivity of small-scale food producers [2.3.1],,3.6
2016,Productivity of small-scale food producers [2.3.1],,3.6
2010,Productivity of small-scale food producers [2.3.1],Female,3.9
2011,Productivity of small-scale food producers [2.3.1],Female,3.5
2012,Productivity of small-scale food producers [2.3.1],Female,3.5
2014,Productivity of small-scale food producers [2.3.1],Female,4.2
2016,Productivity of small-scale food producers [2.3.1],Female,3.3
2010,Productivity of small-scale food producers [2.3.1],Male,4.5
2011,Productivity of small-scale food producers [2.3.1],Male,3.6
2012,Productivity of small-scale food producers [2.3.1],Male,4.4
2014,Productivity of small-scale food producers [2.3.1],Male,3.3
2016,Productivity of small-scale food producers [2.3.1],Male,3.7
