Year,SDG Series,Sex,Age,Unit of measure,Value
2000,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",87.1
2001,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",83.4
2002,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",79.2
2003,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",74.7
2004,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",70.0
2005,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",65.6
2006,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",61.6
2007,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",57.9
2008,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",54.5
2009,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",52.1
2010,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",49.5
2011,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",47.0
2012,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",44.3
2013,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",42.4
2014,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",40.6
2015,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",38.9
2016,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",37.3
2017,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",35.7
2018,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",34.1
2019,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",33.0
2020,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",31.9
2000,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",79.5
2001,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",76.0
2002,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",72.2
2003,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",67.9
2004,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",63.6
2005,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",59.5
2006,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",55.8
2007,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",52.4
2008,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",49.3
2009,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",47.1
2010,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",44.6
2011,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",42.3
2012,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",39.8
2013,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",38.1
2014,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",36.4
2015,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",34.9
2016,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",33.4
2017,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",31.9
2018,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",30.5
2019,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",29.5
2020,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",28.4
2000,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",94.3
2001,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",90.3
2002,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",85.9
2003,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",81.0
2004,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",76.1
2005,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",71.4
2006,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",67.0
2007,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",63.1
2008,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",59.5
2009,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",56.9
2010,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",54.1
2011,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",51.5
2012,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",48.5
2013,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",46.6
2014,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",44.6
2015,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",42.8
2016,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",41.0
2017,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",39.3
2018,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",37.6
2019,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",36.4
2020,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",35.1
2000,Infant deaths (number) [3.2.1],,under 1 year old,Number,97800.0
2001,Infant deaths (number) [3.2.1],,under 1 year old,Number,96082.0
2002,Infant deaths (number) [3.2.1],,under 1 year old,Number,93657.0
2003,Infant deaths (number) [3.2.1],,under 1 year old,Number,90629.0
2004,Infant deaths (number) [3.2.1],,under 1 year old,Number,87195.0
2005,Infant deaths (number) [3.2.1],,under 1 year old,Number,83806.0
2006,Infant deaths (number) [3.2.1],,under 1 year old,Number,80609.0
2007,Infant deaths (number) [3.2.1],,under 1 year old,Number,77610.0
2008,Infant deaths (number) [3.2.1],,under 1 year old,Number,74804.0
2009,Infant deaths (number) [3.2.1],,under 1 year old,Number,73016.0
2010,Infant deaths (number) [3.2.1],,under 1 year old,Number,70671.0
2011,Infant deaths (number) [3.2.1],,under 1 year old,Number,68397.0
