Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Value
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.33704
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.3868
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.27639
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.16161
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-0.2253
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-0.73499
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.11647
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.38271
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.74946
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-2.04737
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-2.41495
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-2.50802
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-2.61462
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-2.52118
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-2.35245
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,-1.60045
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3335.19669
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3412.97264
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,5007.71386
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,6607.39546
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7954.35591
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,8002.14239
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,8029.11277
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,8033.0949
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,8024.25928
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,8015.07427
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7984.11386
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7943.3274
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7912.80087
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7891.49632
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7862.14794
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7838.30903
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7808.89463
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7801.4468
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7792.91639
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7800.3941
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7813.89637
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7874.07199
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.01669
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.01708
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.02506
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03307
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03981
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.04005
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.04018
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.0402
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.04016
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.04011
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03982
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03961
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03946
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03936
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03921
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03909
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03894
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03891
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03886
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.0389
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03897
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.03927
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,6.60808
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,9.85561
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,8.14115
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,6.63586
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,5.59927
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,2.96476
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3.76621
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,7.99714
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,17.76393
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,29.19389
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,50.43513
