Year,SDG Series,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Value
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,20.46142
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,44.44715
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,59.19915
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,65.91401
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Primary education or less,14.2224
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Primary education or less,36.79482
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Primary education or less,46.64626
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Primary education or less,54.25932
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Secondary education or above,26.05386
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Secondary education or above,56.58606
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Secondary education or above,76.26067
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Secondary education or above,76.38816
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Bottom 40%,,9.87004
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Bottom 40%,,28.8055
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Bottom 40%,,47.29897
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Bottom 40%,,51.38818
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Richest 60%,,27.49247
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Richest 60%,,54.84654
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Richest 60%,,67.07114
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Richest 60%,,75.56136
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,Rural,,,61.24468
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,Urban,,,73.34116
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,26.21828
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,50.92216
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,60.60803
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,68.12975
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,12.38695
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,35.035
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,57.14161
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,62.65274
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,15.06352
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,36.63328
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,52.70641
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,65.06289
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,25.78301
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,52.35566
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,66.077
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,66.88224
2011,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,27.72822
2014,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,49.49649
2017,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,63.56561
2021,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,70.50409
2011,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,3.55635
2014,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,27.26546
2017,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,44.17362
2021,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,49.10303
